id,ident,type,name,latitude_deg,longitude_deg,municipality
26508,VEKR,medium_airport,Kailashahar Airport,24.30820084,92.00720215,Kailashahar
26516,VEPH,medium_airport,Panagarh Air Force Station,23.47430038,87.42749786,Panagarh
26432,VAAK,medium_airport,Akola Airport,20.698999,77.058601,Akola
26549,VIBY,medium_airport,Bareilly Air Force Station,28.42210007,79.45079803,Bareilly
26543,VIBK,medium_airport,Nal Airport,28.07060051,73.2071991,Bikaner
26435,VABI,medium_airport,Bilaspur Airport,21.9884,82.111,Bilaspur
26500,VEGK,medium_airport,Gorakhpur Airport,26.73970032,83.4496994,Gorakhpur
3312,VE44,medium_airport,Hashimara Air Force Station,26.69829941,89.36910248,Jalpaiguri
26611,VOCP,medium_airport,Kadapa Airport,14.51,78.772778,Kadapa
26449,VAKE,medium_airport,Kandla Airport,23.1127,70.100304,Kandla
26573,VIPT,medium_airport,Pantnagar Airport,29.03339958,79.47370148,Pantnagar
26624,VOSM,medium_airport,Salem Airport,11.7833004,78.06559753,Salem
26524,VEZO,medium_airport,Ziro Airport,27.588301,93.828102,Ziro
3343,VO94,small_airport,Campbell Bay Airport,7.013040066,93.92279816,Campbell
3317,VE67,small_airport,Machuka Advanced Landing Ground,28.60245801,94.12613869,Machuka
3320,VE91,small_airport,Vijaynagar Advanced Landing Ground,27.1935997,97.00370026,Vijaynagar
3308,VE24,small_airport,Sookerating Airport,27.55290031,95.57060242,Sookerating
30356,VERU,small_airport,Rupsi India Airport,26.13969994,89.91000366,Rupsi
3311,VE41,small_airport,Giridih Airport,24.20190048,86.28980255,Giridih
3315,VE54,small_airport,Daltonganj Airport,24.01930046,84.0951004,Daltonganj
26518,VEPU,small_airport,Purnea Airport,25.75959969,87.41000366,Purnea
30325,VERL,small_airport,Raxaul Airport,26.9666996,84.83329773,Raxaul
26442,VADS,small_airport,Deesa Airport,24.26790047,72.20439911,Deesa
3322,VI20,small_airport,Bhilwara Airport,28.07710075,76.20500183,Bhilwara 
3323,VI40,small_airport,Karnal Airport,29.71409988,77.03749847,Karnal
3331,VI71,small_airport,Kalka Airport,30.8245697,76.88365173,Kalka
29775,VECK,small_airport,Chakulia Airport,22.4605999,86.70780182,Chakulia 
3325,VI57,small_airport,Thoise Airport,34.65259933,77.37580109,Thoise 
3327,VI65,small_airport,Kargil Airport,34.52429962,76.15589905,Kargil 
3328,VI66,small_airport,Fukche Advanced Landing Ground,32.93740082,79.21320343,Fukche
26541,VIAW,small_airport,Awantipur Air Force Station,33.87659836,74.97570038,Awantipur
42716,IN-0003,small_airport,Daulat Beg Oldi Advanced Landing Ground,35.39646671,77.92896509,Daulat
3283,VA1B,small_airport,Chanda Airport,19.99469948,79.22250366,Chanda 
3293,VA1M,small_airport,Karad Airport,17.28590012,74.15809631,Karad 
3303,IN-VA47,small_airport,Jalgaon Airport,20.96220016,75.62670135,Jalgaon
3305,IN-VA53,small_airport,Dhulia Airport,20.92650032,74.73709869,Dhulia
3284,VA1C,small_airport,Birlagram Airport,23.44689941,75.42030334,Birlagram
3287,VA1F,small_airport,Sidhi Airport,24.40229988,81.81479645,Sidhi 
3290,VA1J,small_airport,Dhana Airport,23.75359917,78.85579681,Dhana 
3292,VA1L,small_airport,Amla Airport,21.92639923,78.11360168,Amla
3294,VA1N,small_airport,Nimach Airport,24.43079948,74.86779785,Nimach
3295,VA1O,small_airport,Burhar Airport,23.23520088,81.50370026,Burhar 
3300,VA2D,small_airport,Ratlam Airport,23.38139915,75.02559662,Ratlam
3321,VE96,small_airport,Thuniabhand Airport,22.00160027,78.91719818,Thuniabhand
3334,VI76,small_airport,Band Tal Airport,26.00009918,78.26180267,Band Tal
3316,VE62,small_airport,Cuttack Airport,20.5496006,85.88629913,Cuttack
26505,VEJH,small_airport,Jharsuguda Airport,21.91349983,84.05039978,Jharsuguda
26522,VEUK,small_airport,Utkela Airport,20.09740067,83.18379974,Utkela
3336,VI88,small_airport,Jallowal Airport,31.55999947,75.34130096,Jallowal
26560,VIHX,small_airport,Halwara Air Force Station,30.74850082,75.62979889,Halwara
3289,VA1H,small_airport,Ondwa Airport,25.14150047,74.6115036,Ondwa 
3297,VA2A,small_airport,Phalodi Airport,27.11289978,72.38899994,Phalodi
3302,IN-VA38,small_airport,Sirohi Airport,24.89509964,72.84590149,Sirohi 
3304,IN-VA51,small_airport,Banswara Airport,23.5897007,74.31269836,Banswara
3306,IN-VA74,small_airport,Abu Road Airport,24.49419975,72.78150177,Abu Road
3324,VI43,small_airport,Suratgarh New Airport,29.38780022,73.90390015,Suratgarh
3329,VI69,small_airport,Jhunjhunu Airport,28.1067009,75.37560272,Jhunjhunu 
3330,VI70,small_airport,Pilani New Airport,28.34880066,75.59369659,Pilani 
3332,VI73,small_airport,Nagaur Airport,27.20829964,73.71140289,Nagaur
3338,VO26,small_airport,Kovilpatti Airport,9.153889656,77.82119751,Kovilpatti
3344,VO95,small_airport,Hosur Airport,12.66129971,77.76719666,Hosur
26601,VOAR,small_airport,Arkonam Airport,13.07120037,79.69120026,Arkonam
30005,VEKM,small_airport,Kamalpur Airport,24.13170052,91.81420135,Kamalpur
3285,VA1D,small_airport,Muirpur Airport,24.12520027,83.04060364,Muirpur
3298,VA2B,small_airport,Meerut Sw Airport,28.9048996,77.6772995,Meerut 
3335,VI82,small_airport,Bharkot Airport,30.58289909,78.3234024,Bharkot
3337,VI90,small_airport,Akbarpur Airport,26.44759941,82.56819916,Akbarpur
26553,VIDF,small_airport,Pithorgarh Airport,29.59359932,80.23919678,Pithorgarh
26556,VIDX,small_airport,Hindon Air Force Station,28.70770073,77.35890198,Hindon 
26561,VIJN,small_airport,Jhansi Airport,25.49119949,78.55840302,Jhansi 
26577,VISP,small_airport,Sarsawa Air Force Station,29.9939003,77.4253006,Sarsawa 
3307,VE23,small_airport,Burnpur Airport,23.63150024,86.97550201,Burnpur
26542,VIAX,small_airport,Adampur Airport,31.4338,75.758797,Adampur
26510,VELP,medium_airport,Lengpui Airport,23.84059906,92.61969757,Aizawl
32206,VEBG,small_airport,Balurghat Airport,25.26169968,88.79560089,Balurghat
3309,VEPI,small_airport,Barrackpore Air Force Station,22.78100014,88.35919952,Barrackpore
29689,VEBA,small_airport,Behala Airport,22.5042305,88.29342651,Behala
26630,VOTX,small_airport,Tambaram Air Force Station,12.90719986,80.12190247,Chennai
26495,VECA,small_airport,Chabua Air Force Station,27.46220016,95.11769867,Dibrugarh
31698,IN-JGB,small_airport,Jagdalpur Airport,19.07430077,82.03679657,Jagdalpur
32183,VEJP,small_airport,Jeypore Airport,18.87999916,82.55200195,Jeypore
3333,VI75,small_airport,IIT Kanpur Airport,26.520399,80.232904,Kalyanpur
31691,VEKW,small_airport,Khowai Airport,24.061899,91.603897,Khowai
32576,VILP,small_airport,Lalitpur Airport,24.71699905,78.41699982,Lalitpur
3341,VO55,medium_airport,Murod Kond Airport,18.411501,76.464699,Latur
